   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dissertation/dcssat-er.xml
name:                    dcssat-er
run sets:                default
date:                    Sun, 2021-04-25 20:57:51 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:
parallel runs:           8
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                              status                       cpu time   wall time        host
--------------------------------------------------------------------------------------------------------------------
er-random-k-CNF/rand-3-10-20-5.1.sdimacs               done                             0.01        0.02        None
er-random-k-CNF/rand-3-10-20-5.2.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-20-5.3.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-20-5.4.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-20-5.5.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-30-5.10.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-30-5.6.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-30-5.7.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-30-5.8.sdimacs               done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-30-5.9.sdimacs               done                             0.01        0.02        None
er-random-k-CNF/rand-3-10-40-5.11.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-40-5.12.sdimacs              done                             0.01        0.02        None
er-random-k-CNF/rand-3-10-40-5.13.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-40-5.14.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-40-5.15.sdimacs              done                             0.01        0.03        None
er-random-k-CNF/rand-3-10-50-5.16.sdimacs              done                             0.01        0.03        None
er-random-k-CNF/rand-3-10-50-5.17.sdimacs              done                             0.01        0.03        None
er-random-k-CNF/rand-3-10-50-5.18.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-10-50-5.19.sdimacs              done                             0.01        0.02        None
er-random-k-CNF/rand-3-10-50-5.20.sdimacs              done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-100-10.36.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-100-10.37.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-100-10.38.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-100-10.39.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-100-10.40.sdimacs            done                             0.01        0.03        None
er-random-k-CNF/rand-3-20-40-10.21.sdimacs             done                             0.01        0.02        None
er-random-k-CNF/rand-3-20-40-10.22.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-40-10.23.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-40-10.24.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-40-10.25.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-60-10.26.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-60-10.27.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-60-10.28.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-60-10.29.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-60-10.30.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-80-10.31.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-80-10.32.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-80-10.33.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-80-10.34.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-20-80-10.35.sdimacs             done                             0.01        0.01        None
er-random-k-CNF/rand-3-30-120-15.51.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-30-120-15.52.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-30-120-15.53.sdimacs            done                             0.01        0.01        None
er-random-k-CNF/rand-3-30-120-15.54.sdimacs            done                             0.01        0.01        None
