   BENCHMARK INFORMATION
benchmark definition:    test/test-sets/dcssat-thesis-re.xml
name:                    dcssat-thesis-re
run sets:                default
date:                    Wed, 2021-04-07 00:22:18 CST
tool:                    DC-SSAT
tool executable:         bin/dcssat
options:                 
parallel runs:           15
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    alcom-PowerEdge-T440
os:                      Linux-5.4.0-58-generic-x86_64-with-glibc2.29
cpu:                     Intel Xeon Silver 4210 CPU @ 2.20GHz
- cores:                 40
- max frequency:         3200.0 MHz
- turbo boost enabled:   False
ram:                     134616.424448 MB
------------------------------------------------------------



default
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                 status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------
re-random/rand-3-10-20-5.100.sdimacs      done                             0.01        0.03        None
re-random/rand-3-10-20-5.101.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-20-5.102.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-20-5.103.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-20-5.104.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-30-5.105.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-30-5.106.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-30-5.107.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-30-5.108.sdimacs      done                             0.01        0.02        None
re-random/rand-3-10-30-5.109.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-40-5.110.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-40-5.111.sdimacs      done                             0.01        0.03        None
re-random/rand-3-10-40-5.112.sdimacs      done                             0.01        0.02        None
re-random/rand-3-10-40-5.113.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-40-5.114.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-50-5.115.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-50-5.116.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-50-5.117.sdimacs      done                             0.01        0.01        None
re-random/rand-3-10-50-5.118.sdimacs      done                             0.01        0.02        None
re-random/rand-3-10-50-5.119.sdimacs      done                             0.01        0.03        None
re-random/rand-3-20-100-10.135.sdimacs    done                             0.01        0.04        None
re-random/rand-3-20-100-10.136.sdimacs    done                             0.01        0.04        None
re-random/rand-3-20-100-10.137.sdimacs    done                             0.01        0.01        None
re-random/rand-3-20-100-10.138.sdimacs    done                             0.01        0.01        None
re-random/rand-3-20-100-10.139.sdimacs    done                             0.01        0.01        None
re-random/rand-3-20-40-10.120.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-40-10.121.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-40-10.122.sdimacs     done                             0.01        0.02        None
re-random/rand-3-20-40-10.123.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-40-10.124.sdimacs     done                             0.01        0.03        None
re-random/rand-3-20-60-10.125.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-60-10.126.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-60-10.127.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-60-10.128.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-60-10.129.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-80-10.130.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-80-10.131.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-80-10.132.sdimacs     done                             0.01        0.02        None
re-random/rand-3-20-80-10.133.sdimacs     done                             0.01        0.01        None
re-random/rand-3-20-80-10.134.sdimacs     done                             0.01        0.02        None
re-random/rand-3-30-120-15.150.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-120-15.151.sdimacs    done                             0.01        0.02        None
re-random/rand-3-30-120-15.152.sdimacs    done                             0.01        0.02        None
re-random/rand-3-30-120-15.153.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-120-15.154.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-150-15.155.sdimacs    done                             0.01        0.02        None
re-random/rand-3-30-150-15.156.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-150-15.157.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-150-15.158.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-150-15.159.sdimacs    done                             0.01        0.01        None
re-random/rand-3-30-60-15.140.sdimacs     done                             0.01        0.02        None
re-random/rand-3-30-60-15.141.sdimacs     done                             0.01        0.01        None
re-random/rand-3-30-60-15.142.sdimacs     done                             0.01        0.03        None
re-random/rand-3-30-60-15.143.sdimacs     done                             0.02        0.03        None
re-random/rand-3-30-60-15.144.sdimacs     done                             0.01        0.03        None
re-random/rand-3-30-90-15.145.sdimacs     done                             0.01        0.02        None
re-random/rand-3-30-90-15.146.sdimacs     done                             0.01        0.03        None
re-random/rand-3-30-90-15.147.sdimacs     done                             0.01        0.02        None
re-random/rand-3-30-90-15.148.sdimacs     done                             0.01        0.04        None
re-random/rand-3-30-90-15.149.sdimacs     done                             0.01        0.03        None
re-random/rand-3-40-120-20.165.sdimacs    done                             0.01        0.02        None
re-random/rand-3-40-120-20.166.sdimacs    done                             0.03        0.04        None
re-random/rand-3-40-120-20.167.sdimacs    done                             0.02        0.03        None
re-random/rand-3-40-120-20.168.sdimacs    done                             0.02        0.02        None
re-random/rand-3-40-120-20.169.sdimacs    done                             0.03        0.03        None
re-random/rand-3-40-160-20.170.sdimacs    done                             0.01        0.01        None
re-random/rand-3-40-160-20.171.sdimacs    done                             0.01        0.01        None
re-random/rand-3-40-160-20.172.sdimacs    done                             0.01        0.01        None
re-random/rand-3-40-160-20.173.sdimacs    done                             0.01        0.02        None
re-random/rand-3-40-160-20.174.sdimacs    done                             0.01        0.02        None
re-random/rand-3-40-200-20.175.sdimacs    done                             0.01        0.01        None
re-random/rand-3-40-200-20.176.sdimacs    done                             0.01        0.03        None
re-random/rand-3-40-200-20.177.sdimacs    done                             0.01        0.03        None
re-random/rand-3-40-200-20.178.sdimacs    done                             0.01        0.02        None
re-random/rand-3-40-200-20.179.sdimacs    done                             0.01        0.01        None
re-random/rand-3-40-80-20.160.sdimacs     done                             0.02        0.02        None
re-random/rand-3-40-80-20.161.sdimacs     done                             0.02        0.02        None
re-random/rand-3-40-80-20.162.sdimacs     done                             0.02        0.02        None
re-random/rand-3-40-80-20.163.sdimacs     done                             0.03        0.03        None
re-random/rand-3-40-80-20.164.sdimacs     done                             0.04        0.05        None
re-random/rand-3-50-100-25.180.sdimacs    done                             0.43        0.43        None
re-random/rand-3-50-100-25.181.sdimacs    done                             0.11        0.12        None
re-random/rand-3-50-100-25.182.sdimacs    done                             0.16        0.16        None
re-random/rand-3-50-100-25.183.sdimacs    done                             0.10        0.11        None
