tool	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	ABC 	DC-SSAT 	DC-SSAT 	DC-SSAT 	DC-SSAT 
run set	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-BDD.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	erssat-full.bare-Cachet.ExistRandomExist	dcssat-full.default	dcssat-full.default	dcssat-full.default	dcssat-full.default
test-cases/benchmarks/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
ere-conformant/blocks_enc_2_b3_ser--opt-9_.sdimacs	TIMEOUT (ERROR (1))	901.062151741	901.0978701221757	699.686912	TIMEOUT (ERROR (1))	900.997879005	903.9049084857106	77.209600	TIMEOUT	901.370201666	901.4237532671541	6762.373120
ere-conformant/blocks_enc_2_b4_ser--opt-26_.sdimacs	TIMEOUT (ERROR (1))	901.008434347	901.0199661660008	147.501056	TIMEOUT (ERROR (1))	900.656941052	901.013492221944	136.966144	OUT OF MEMORY	854.521981697	854.5487929573283	8000.000000
ere-conformant/cube_c11_par---13_.sdimacs	TIMEOUT (ERROR (1))	901.010730593	901.0244049029425	208.457728	TIMEOUT (ERROR (1))	900.822750505	901.0052319103852	70.991872	TIMEOUT	901.038445222	901.0558991618454	605.143040
ere-conformant/cube_c11_par--opt-14_.sdimacs	TIMEOUT (ABORTED)	901.013051179	901.3116157897748	246.001664	TIMEOUT (ERROR (1))	900.880748297	901.0043523097411	70.045696	TIMEOUT	901.013714954	901.048414664343	616.898560
ere-conformant/cube_c11_ser--opt-42_.sdimacs	TIMEOUT (ERROR (1))	901.012306111	901.0194111447781	162.705408	TIMEOUT (ERROR (1))	900.961201732	901.006247301586	76.406784	TIMEOUT	901.047081712	901.0726733515039	801.120256
ere-conformant/cube_c5_ser---14_.sdimacs	TIMEOUT (ERROR (1))	900.998981473	901.0178408846259	136.585216	done	881.253852252	882.7619285397232	59.584512	TIMEOUT	901.088027138	901.108509038575	1395.113984
ere-conformant/cube_c5_ser--opt-15_.sdimacs	TIMEOUT (ERROR (1))	900.993380075	901.022306105122	122.859520	TIMEOUT (ERROR (1))	901.004382302	902.2709283595905	62.418944	TIMEOUT	901.074693414	901.1053734486923	1510.109184
ere-conformant/cube_c7_ser---23_.sdimacs	TIMEOUT (ERROR (1))	900.950090857	901.011299572885	90.206208	TIMEOUT (ERROR (1))	900.705826439	901.0067341011018	57.884672	TIMEOUT	900.996264454	901.067321550101	801.894400
ere-conformant/cube_c7_ser--opt-24_.sdimacs	TIMEOUT (ERROR (1))	900.979637489	901.0105390907265	88.633344	TIMEOUT (ERROR (1))	900.788369253	901.0047330800444	57.425920	TIMEOUT	901.043599968	901.070507212542	885.616640
ere-conformant/cube_c9_par---10_.sdimacs	TIMEOUT (ERROR (1))	901.006578218	901.0141942673363	121.856000	TIMEOUT (ERROR (1))	900.868217486	901.003583535552	57.126912	TIMEOUT	901.020125781	901.0385784581304	436.551680
ere-conformant/cube_c9_par--opt-11_.sdimacs	TIMEOUT (ERROR (1))	900.985695705	901.013618116267	106.061824	TIMEOUT (ERROR (1))	900.90447524	901.0032040551305	57.413632	TIMEOUT	900.998319775	901.0419094217941	479.387648
ere-conformant/emptyroom_e3_par--opt-10_.sdimacs	TIMEOUT (ERROR (1))	900.997153708	901.0377300558612	296.894464	TIMEOUT (ERROR (1))	900.998315747	902.8806225769222	52.592640	TIMEOUT	901.025653304	901.054397828877	915.001344
ere-conformant/emptyroom_e3_ser---19_.sdimacs	TIMEOUT (ERROR (1))	900.996328544	901.0220672250725	145.666048	TIMEOUT (ERROR (1))	901.00053943	902.4926471952349	57.892864	TIMEOUT	901.069205577	901.0939433416352	1586.429952
ere-conformant/emptyroom_e3_ser--opt-20_.sdimacs	TIMEOUT (ERROR (1))	900.995785547	901.02173145907	116.436992	TIMEOUT (ERROR (1))	901.003836026	902.4879809450358	60.452864	TIMEOUT	901.068321058	901.0968508226797	1608.388608
ere-conformant/emptyroom_e4_par---21_.sdimacs	TIMEOUT (ERROR (1))	900.977912056	901.0225139656104	109.408256	TIMEOUT (ERROR (1))	900.758399398	901.0064529459924	55.562240	TIMEOUT	900.987383387	901.0256740199402	267.853824
ere-conformant/emptyroom_e4_par--opt-22_.sdimacs	TIMEOUT (ERROR (1))	901.020018248	901.0224325456657	153.927680	TIMEOUT (ERROR (1))	900.716297087	901.0058861011639	55.377920	TIMEOUT	900.998729968	901.0278298519552	266.317824
ere-conformant/emptyroom_e4_ser--opt-44_.sdimacs	TIMEOUT (ERROR (1))	901.009418202	901.024820337072	229.322752	TIMEOUT (ERROR (1))	900.823235919	901.0074512865394	64.110592	TIMEOUT	901.020445424	901.0470523014665	556.318720
ere-conformant/ring_r3_ser--opt-8_.sdimacs	TIMEOUT (ERROR (1))	901.05486953	901.0857729632407	659.595264	TIMEOUT (ERROR (1))	900.995764745	902.9010117780417	51.568640	TIMEOUT	901.162190621	901.1869705310091	2547.048448
ere-conformant/ring_r4_ser--opt-11_.sdimacs	TIMEOUT (ERROR (1))	900.969729483	901.0471347696148	376.406016	TIMEOUT (ERROR (1))	900.662493734	901.0045935967937	50.405376	TIMEOUT	901.03450401	901.05435688328	697.151488
ere-conformant/ring_r6_ser---16_.sdimacs	SEGMENTATION FAULT	0.902168826	1.2813586201518774	134.004736	TIMEOUT (ERROR (1))	900.984203107	901.0066117541865	97.333248	TIMEOUT	901.064211457	901.0824766894802	881.840128
ere-conformant/ring_r6_ser--opt-17_.sdimacs	SEGMENTATION FAULT	0.85501378	1.2171471021138132	134.537216	TIMEOUT (ERROR (1))	900.994762268	901.0046645207331	95.715328	TIMEOUT	900.99455362	901.0752957258373	884.248576
ere-conformant/ring_r7_ser---19_.sdimacs	SEGMENTATION FAULT	1.727293233	2.1117511386983097	360.140800	TIMEOUT (ERROR (1))	900.996517632	901.0072998693213	251.924480	TIMEOUT	901.194239545	901.2216379670426	3190.149120
ere-conformant/ring_r7_ser--opt-20_.sdimacs	SEGMENTATION FAULT	1.969599638	2.2228126800619066	361.979904	TIMEOUT (ERROR (1))	900.996172682	901.0098050925881	255.451136	TIMEOUT	901.151661737	901.1979165254161	3192.344576
ere-MaxCount/MaxSAT-keller4-1212.clq.wcnf.sdimacs	TIMEOUT (ERROR (1))	901.169604112	901.198288898915	1701.822464	TIMEOUT (ERROR (1))	901.00410623	902.6621949533001	51.482624	TIMEOUT	900.999829972	901.0385730648413	632.946688
ere-MaxCount/MaxSAT-keller4.clq.wcnf.sdimacs	TIMEOUT (ERROR (1))	900.962094452	901.0081071550958	50.192384	TIMEOUT (ERROR (1))	900.266966976	901.0040567107499	52.109312	TIMEOUT	901.001093203	901.0217022728175	235.634688
ere-MaxCount/QIF-CVE-2007-2875.sdimacs	TIMEOUT (ERROR (1))	901.094064865	901.1461241915822	1209.823232	TIMEOUT (ERROR (1))	900.998563159	903.2671864489093	53.489664	OUT OF MEMORY	391.715837744	391.73942391201854	8000.000000
ere-MaxCount/QIF-CVE-2009-3002.sdimacs	TIMEOUT (ERROR (1))	901.687855381	901.7209235550836	3095.691264	TIMEOUT	1001.270017773	1001.5847724098712	4587.081728	ERROR (255)	0.009076037	0.012887542136013508	0.643072
ere-MaxCount/QIF-backdoor-2x16-8.sdimacs	TIMEOUT (ERROR (1))	901.003409448	901.0221364279278	175.812608	done	512.930011479	514.7242981605232	48.803840	done	0.009390325	0.014811649918556213	3.002368
ere-MaxCount/QIF-bin-search-16.sdimacs	TIMEOUT (ERROR (1))	901.011138373	904.3196809371002	81.907712	TIMEOUT (ERROR (1))	900.371298501	901.00372054521	305.713152	TIMEOUT	901.013999232	901.0350729394704	513.449984
ere-MaxCount/QIF-pwd-backdoor.sdimacs	TIMEOUT (ERROR (1))	900.364644071	901.1249351380393	887.922688	TIMEOUT (ERROR (1))	901.000408848	902.9801253182814	53.919744	OUT OF MEMORY	576.407944439	576.4553304342553	8000.000000
ere-MaxCount/QIF-reverse.sdimacs	TIMEOUT (ERROR (1))	901.006676769	902.2517686090432	43.798528	done	1.254116935	1.2576278960332274	46.292992	OUT OF MEMORY	228.071016466	228.08249288797379	8000.000000
ere-MaxCount/QIF-reverse2.sdimacs	TIMEOUT (ERROR (1))	901.008060284	902.3799425279722	40.157184	done	1.26951865	1.2755404459312558	46.284800	OUT OF MEMORY	240.214674217	240.22988185379654	8000.000000
ere-MaxCount/SyGuS-ActivityService.sdimacs	TIMEOUT (ERROR (1))	900.526336942	901.0201824530959	205.283328	TIMEOUT (ERROR (1))	901.009855408	902.2354740686715	57.401344	TIMEOUT	901.366070985	901.4242512956262	7563.866112
ere-MaxCount/SyGuS-ActivityService2.sdimacs	TIMEOUT (ERROR (1))	901.021311214	904.6419007629156	205.340672	TIMEOUT (ERROR (1))	900.813622728	901.0042232591659	57.364480	TIMEOUT	901.422461793	901.4468820858747	7494.619136
ere-MaxCount/SyGuS-ConcreteActivityService.sdimacs	TIMEOUT (ERROR (1))	900.858048565	908.0775093357079	202.260480	TIMEOUT (ERROR (1))	900.71773995	901.0071175396442	56.709120	OUT OF MEMORY	732.022660938	732.0391870746389	8000.000000
ere-MaxCount/SyGuS-GuidanceService.sdimacs	TIMEOUT (ERROR (1))	900.931480056	903.8613350330852	285.761536	done	2.526547517	2.528551246970892	52.207616	OUT OF MEMORY	863.719154522	863.7473762510344	8000.000000
ere-MaxCount/SyGuS-GuidanceService2.sdimacs	TIMEOUT (ERROR (1))	900.788742393	901.0266610919498	285.761536	done	2.556714416	2.5586259309202433	52.219904	OUT OF MEMORY	859.132463731	859.1544000217691	8000.000000
ere-MaxCount/SyGuS-IssueServiceImpl.sdimacs	TIMEOUT (ERROR (1))	900.875979772	901.0227125999518	239.837184	TIMEOUT (ERROR (1))	901.001763064	902.5699190264568	55.590912	OUT OF MEMORY	833.051035508	833.0632489919662	8000.000000
ere-MaxCount/SyGuS-IterationService.sdimacs	TIMEOUT (ERROR (1))	901.019846511	903.7539101587608	205.279232	TIMEOUT (ERROR (1))	900.239548192	901.0040472857654	57.384960	TIMEOUT	901.433907882	901.4554874561727	7408.046080
ere-MaxCount/SyGuS-LoginService.sdimacs	TIMEOUT (ABORTED)	900.575523679	901.4401776059531	250.949632	TIMEOUT (ERROR (1))	900.345066403	901.0047682058066	60.346368	TIMEOUT	901.341256967	901.3694738093764	5736.488960
ere-MaxCount/SyGuS-LoginService2.sdimacs	TIMEOUT (ERROR (1))	901.037789133	902.4892465663143	212.819968	TIMEOUT (ERROR (1))	900.707475011	901.00460326951	61.313024	TIMEOUT	900.984157055	901.0234269807115	237.621248
ere-MaxCount/SyGuS-NotificationServiceImpl2.sdimacs	TIMEOUT (ERROR (1))	901.020373207	902.2440721429884	182.435840	TIMEOUT (ERROR (1))	900.726816548	901.0048206718639	57.892864	TIMEOUT	901.387254641	901.4722415292636	7923.212288
ere-MaxCount/SyGuS-PhaseService.sdimacs	TIMEOUT (ERROR (1))	901.018942118	902.2399228070863	205.340672	TIMEOUT (ERROR (1))	900.860018915	901.0036366702989	57.348096	TIMEOUT	901.422349344	901.4576655831188	7536.218112
ere-MaxCount/SyGuS-ProcessBean.sdimacs	TIMEOUT (ERROR (1))	901.029040065	903.310834820848	273.420288	TIMEOUT (ERROR (1))	900.855431089	901.005218770355	207.101952	TIMEOUT	901.026187451	901.0386016862467	397.012992
ere-MaxCount/SyGuS-ProjectService3.sdimacs	TIMEOUT (ERROR (1))	900.621307652	901.0597568671219	534.478848	TIMEOUT (ERROR (1))	900.939379709	901.0047790147364	309.690368	TIMEOUT	901.364612276	901.3802652107552	5583.523840
ere-MaxCount/SyGuS-UserServiceImpl.sdimacs	TIMEOUT (ERROR (1))	901.037873548	903.0543934488669	291.086336	TIMEOUT (ERROR (1))	900.357027052	901.0047794319689	58.912768	OUT OF MEMORY	525.859754328	525.8878251519054	8000.000000
ere-MaxCount/SyGuS-sign.sdimacs	TIMEOUT (ERROR (1))	901.007972347	902.0184026053175	75.055104	TIMEOUT (ERROR (1))	901.003003521	904.0587385371327	52.101120	OUT OF MEMORY	312.868549482	312.87923875264823	8000.000000
ere-MaxCount/SyGuS-sign_correct.sdimacs	TIMEOUT (ERROR (1))	901.012163508	903.1859337249771	86.159360	done	0.730106213	0.7349673435091972	46.235648	OUT OF MEMORY	311.939592867	311.9472251916304	8000.000000
